{'NM_000014': ['version 5', 4425]}
{'NM_001107254': ['version 1', 1794]}
{'NM_001107255': ['version 1', 3354]}
{'NM_001107256': ['version 2', 1311]}
{'NM_001107257': ['version 1', 2199]}
{'NM_001107258': ['version 1', 1479]}
{'NM_001107259': ['version 1', 1260]}
{'NM_001107260': ['version 1', 930]}
{'NM_001107261': ['version 1', 3144]}
{'NM_001107262': ['version 1', 3015]}
{'NM_001107263': ['version 1', 948]}
{'NM_001107264': ['version 1', 2706]}
{'NM_001107265': ['version 1', 3924]}
{'NM_001107266': ['version 1', 2448]}
{'NM_001107267': ['version 1', 3129]}
{'NM_001107268': ['version 1', 984]}
{'NM_001107269': ['version 1', 984]}
{'NM_001107270': ['version 1', 993]}
{'NM_001107271': ['version 1', 1527]}
{'NM_001107272': ['version 1', 1095]}
{'NM_001107273': ['version 1', 2946]}
{'NM_001107275': ['version 1', 1473]}
{'NM_001107276': ['version 1', 2916]}
{'NM_001107277': ['version 1', 1647]}
{'NM_001107278': ['version 2', 3513]}
{'NM_001107279': ['version 1', 3627]}
{'NM_001107280': ['version 1', 2859]}
{'NM_001107281': ['version 1', 1260]}
{'NM_001107282': ['version 1', 1467]}
{'NM_001107283': ['version 1', 2091]}
{'NM_001107284': ['version 1', 2877]}
{'NM_001107285': ['version 2', 1719]}
{'NM_001107286': ['version 1', 411]}
{'NM_001107287': ['version 1', 3150]}
{'NM_001107288': ['version 1', 7737]}
{'NM_001107289': ['version 1', 276]}
{'NM_001107290': ['version 1', 1065]}
{'NM_001107291': ['version 2', 2715]}
{'NM_001107292': ['version 1', 2223]}
{'NM_001107293': ['version 1', 1068]}
{'NM_001107295': ['version 1', 1005]}
{'NM_001107296': ['version 1', 3978]}
{'NM_001107297': ['version 1', 1626]}
{'NM_001107299': ['version 1', 876]}
{'NM_001107300': ['version 2', 1767]}
{'NM_001107301': ['version 1', 1326]}
{'NM_001107303': ['version 1', 576]}
{'NM_001107304': ['version 2', 1815]}
{'NM_001107305': ['version 1', 369]}
{'NM_001107306': ['version 1', 825]}
{'NM_001107307': ['version 1', 3567]}
{'NM_001107308': ['version 1', 2910]}
{'NM_001107309': ['version 1', 1593]}
{'NM_001107310': ['version 1', 1317]}
{'NM_001107311': ['version 1', 1089]}
{'NM_001107312': ['version 1', 1260]}
{'NM_001107313': ['version 1', 858]}
{'NM_001107314': ['version 1', 1341]}
{'NM_001107315': ['version 1', 4107]}
{'NM_001107316': ['version 1', 3141]}
{'NM_001107318': ['version 2', 876]}
{'NM_001107319': ['version 2', 2871]}
{'NM_001107320': ['version 1', 828]}
{'NM_001107321': ['version 1', 1467]}
{'NM_001107322': ['version 2', 5124]}
{'NM_001107323': ['version 1', 1821]}
{'NM_001107324': ['version 2', 3564]}
{'NM_001107326': ['version 1', 1902]}
{'NM_001107327': ['version 1', 1014]}
{'NM_001107328': ['version 2', 1011]}
{'NM_001107329': ['version 1', 2406]}
{'NM_001107330': ['version 1', 1548]}
{'NM_001107331': ['version 1', 1443]}
{'NM_001107333': ['version 1', 1626]}
{'NM_001107334': ['version 1', 1524]}
{'NM_001107335': ['version 2', 4293]}
{'NM_001107336': ['version 1', 1335]}
{'NM_001107337': ['version 1', 7146]}
{'NM_001107338': ['version 1', 882]}
{'NM_001107339': ['version 1', 2832]}
{'NM_001107341': ['version 1', 813]}
{'NM_001107342': ['version 1', 2940]}
{'NM_001107343': ['version 1', 2475]}
{'NM_001107344': ['version 2', 1338]}
{'NM_001107345': ['version 1', 1296]}
{'NM_001107347': ['version 1', 564]}
{'NM_001107348': ['version 1', 5094]}
{'NM_001107349': ['version 1', 1008]}
{'NM_001107350': ['version 1', 1977]}
{'NM_001107351': ['version 1', 1014]}
{'NM_001107352': ['version 1', 381]}
{'NM_001107353': ['version 1', 1344]}
{'NM_001107354': ['version 1', 393]}
{'NM_001107355': ['version 1', 2238]}
{'NM_001107356': ['version 2', 663]}
{'NM_001107357': ['version 1', 1485]}
{'NM_001107358': ['version 1', 2394]}
{'NM_001107359': ['version 1', 1011]}
{'NM_001107360': ['version 1', 4839]}
{'NM_001107361': ['version 1', 2217]}
{'NM_001107362': ['version 1', 1350]}
{'NM_001107363': ['version 1', 2865]}
{'NM_001107364': ['version 1', 2091]}
{'NM_001107365': ['version 1', 1158]}
{'NM_001107366': ['version 1', 2670]}
{'NM_001107367': ['version 2', 1431]}
{'NM_001107368': ['version 2', 975]}
{'NM_001107369': ['version 1', 2601]}
{'NM_001107370': ['version 1', 1041]}
{'NM_001107371': ['version 1', 1602]}
{'NM_001107372': ['version 1', 1443]}
{'NM_001107373': ['version 1', 717]}
{'NM_001107374': ['version 1', 1200]}
{'NM_001107375': ['version 2', 900]}
{'NM_001107376': ['version 2', 1755]}
{'NM_001107377': ['version 1', 1395]}
{'NM_001107378': ['version 1', 4437]}
{'NM_001107379': ['version 1', 2892]}
{'NM_001107380': ['version 1', 1041]}
{'NM_001107381': ['version 1', 2250]}
{'NM_001107382': ['version 1', 3999]}
{'NM_001107384': ['version 1', 693]}
{'NM_001107386': ['version 1', 2583]}
{'NM_001107387': ['version 1', 501]}
{'NM_001107389': ['version 1', 2286]}
{'NM_001107390': ['version 2', 3246]}
{'NM_001107391': ['version 1', 2574]}
{'NM_001107392': ['version 1', 1713]}
{'NM_001107394': ['version 2', 1026]}
{'NM_001107395': ['version 1', 2316]}
{'NM_001107396': ['version 1', 786]}
{'NM_001107397': ['version 2', 1515]}
{'NM_001107398': ['version 2', 3996]}
{'NM_001107399': ['version 1', 1155]}
{'NM_001107400': ['version 1', 990]}
{'NM_001107401': ['version 1', 1725]}
{'NM_001107402': ['version 1', 2703]}
{'NM_001107403': ['version 1', 3279]}
{'NM_001107404': ['version 1', 1554]}
{'NM_001107405': ['version 1', 3021]}
{'NM_001107406': ['version 1', 1089]}
{'NM_001107407': ['version 1', 2331]}
{'NM_001107408': ['version 1', 651]}
{'NM_001107409': ['version 1', 1053]}
{'NM_001107410': ['version 1', 1572]}
{'NM_001107411': ['version 2', 1638]}
{'NM_001107412': ['version 1', 1797]}
{'NM_001107413': ['version 1', 981]}
{'NM_001107414': ['version 1', 3795]}
{'NM_001107415': ['version 2', 3948]}
{'NM_001107416': ['version 1', 1266]}
{'NM_001107417': ['version 2', 1578]}
{'NM_001107419': ['version 1', 2988]}
{'NM_001107420': ['version 1', 1167]}
{'NM_001107421': ['version 1', 1158]}
{'NM_001107422': ['version 1', 927]}
{'NM_001107423': ['version 1', 2154]}
{'NM_001107424': ['version 1', 1548]}
{'NM_001107425': ['version 1', 4647]}
{'NM_001107426': ['version 1', 963]}
{'NM_001107427': ['version 1', 1167]}
{'NM_001107428': ['version 2', 2028]}
{'NM_001107429': ['version 1', 3060]}
{'NM_001107430': ['version 1', 2637]}
{'NM_001107431': ['version 1', 1257]}
{'NM_001107432': ['version 1', 3933]}
{'NM_001107433': ['version 1', 1317]}
{'NM_001107434': ['version 1', 1812]}
{'NM_001107435': ['version 1', 1521]}
{'NM_001107436': ['version 1', 1224]}
{'NM_001107437': ['version 1', 2250]}
{'NM_001107438': ['version 1', 171]}
{'NM_001107439': ['version 1', 864]}
{'NM_001107440': ['version 2', 1944]}
{'NM_001107441': ['version 1', 759]}
{'NM_001107442': ['version 1', 984]}
{'NM_001107443': ['version 2', 5079]}
{'NM_001107444': ['version 1', 2178]}
{'NM_001107445': ['version 1', 2028]}
{'NM_001107446': ['version 1', 3459]}
{'NM_001107447': ['version 2', 1539]}
{'NM_001107448': ['version 2', 717]}
{'NM_001107449': ['version 1', 2733]}
{'NM_001107450': ['version 1', 2829]}
{'NM_001107451': ['version 1', 1866]}
{'NM_001107452': ['version 1', 576]}
{'NM_001107453': ['version 1', 1770]}
{'NM_001107454': ['version 1', 1377]}
{'NM_001107456': ['version 1', 4164]}
{'NM_001107457': ['version 1', 315]}
{'NM_001107459': ['version 1', 633]}
{'NM_001107460': ['version 1', 1545]}
{'NM_001107461': ['version 1', 1386]}
{'NM_001107462': ['version 1', 5070]}
{'NM_001107463': ['version 1', 1062]}
{'NM_001107464': ['version 2', 2307]}
{'NM_001107465': ['version 1', 5136]}
{'NM_001107466': ['version 3', 2358]}
{'NM_001107467': ['version 2', 1761]}
{'NM_001107468': ['version 1', 1896]}
{'NM_001107469': ['version 1', 1602]}
{'NM_001107470': ['version 1', 5106]}
{'NM_001107471': ['version 2', 2256]}
{'NM_001107472': ['version 1', 1248]}
{'NM_001107473': ['version 1', 1737]}
{'NM_001107474': ['version 1', 2643]}
{'NM_001107475': ['version 1', 1413]}
{'NM_001107476': ['version 1', 717]}
{'NM_001107477': ['version 2', 1632]}
{'NM_001107478': ['version 1', 1560]}
{'NM_001107479': ['version 1', 1788]}
{'NM_001107480': ['version 2', 2280]}
{'NM_001107481': ['version 1', 2004]}
{'NM_001107482': ['version 1', 2133]}
{'NM_001107483': ['version 1', 1755]}
{'NM_001107486': ['version 1', 603]}
{'NM_001107487': ['version 1', 2682]}
{'NM_001107488': ['version 1', 639]}
{'NM_001107489': ['version 1', 720]}
{'NM_001107490': ['version 3', 4818]}
{'NM_001107491': ['version 1', 360]}
{'NM_001107492': ['version 1', 1170]}
{'NM_001107493': ['version 2', 708]}
{'NM_001107494': ['version 1', 528]}
{'NM_001107495': ['version 1', 1500]}
{'NM_001107496': ['version 1', 1770]}
{'NM_001107498': ['version 1', 2064]}
{'NM_001107500': ['version 3', 1680]}
{'NM_001107501': ['version 1', 1644]}
{'NM_001107502': ['version 1', 1881]}
{'NM_001107503': ['version 1', 2559]}
{'NM_001107504': ['version 2', 1254]}
{'NM_001107505': ['version 1', 2061]}
{'NM_001107506': ['version 1', 3117]}
{'NM_001107507': ['version 1', 1593]}
{'NM_001107508': ['version 1', 543]}
{'NM_001107509': ['version 1', 783]}
{'NM_001107510': ['version 1', 816]}
{'NM_001107511': ['version 2', 2934]}
{'NM_001107512': ['version 1', 1338]}
{'NM_001107513': ['version 1', 1377]}
{'NM_001107514': ['version 1', 1248]}
{'NM_001107515': ['version 1', 612]}
{'NM_001107516': ['version 1', 3075]}
{'NM_001107517': ['version 1', 3762]}
{'NM_001107518': ['version 1', 1080]}
{'NM_001107519': ['version 1', 972]}
{'NM_001107520': ['version 1', 14340]}
{'NM_001107521': ['version 1', 1632]}
{'NM_001107522': ['version 1', 1263]}
{'NM_001107523': ['version 1', 5505]}
{'NM_001107524': ['version 1', 1350]}
{'NM_001107525': ['version 2', 1116]}
{'NM_001107527': ['version 1', 3495]}
{'NM_001107528': ['version 1', 540]}
{'NM_001107529': ['version 1', 1821]}
{'NM_001107530': ['version 1', 681]}
{'NM_001107531': ['version 1', 729]}
{'NM_001107533': ['version 2', 5118]}
{'NM_001107534': ['version 1', 3384]}
{'NM_001107535': ['version 1', 1593]}
{'NM_001107536': ['version 1', 1398]}
{'NM_001107537': ['version 1', 1290]}
{'NM_001107539': ['version 1', 1743]}
{'NM_001107540': ['version 2', 984]}
{'NM_001107541': ['version 2', 966]}
{'NM_001107542': ['version 2', 4068]}
{'NM_001107543': ['version 2', 1968]}
{'NM_001107544': ['version 2', 9876]}
{'NM_001107545': ['version 1', 3117]}
{'NM_001107546': ['version 2', 3864]}
{'NM_001107547': ['version 1', 3303]}
{'NM_001107548': ['version 1', 3270]}
{'NM_001107549': ['version 1', 5865]}
{'NM_001107550': ['version 2', 2772]}
{'NM_001107552': ['version 1', 1515]}
{'NM_001107553': ['version 1', 1860]}
{'NM_001107554': ['version 1', 3393]}
{'NM_001107555': ['version 1', 1260]}
{'NM_001107556': ['version 1', 1281]}
{'NM_001107557': ['version 1', 3627]}
{'NM_001107558': ['version 2', 834]}
{'NM_001107559': ['version 1', 1650]}
{'NM_001107560': ['version 2', 2718]}
{'NM_001107561': ['version 1', 288]}
{'NM_001107562': ['version 1', 3102]}
{'NM_001107563': ['version 2', 663]}
{'NM_001107565': ['version 1', 669]}
{'NM_001107566': ['version 1', 2136]}
{'NM_001107567': ['version 1', 630]}
{'NM_001107568': ['version 3', 618]}
{'NM_001107569': ['version 1', 1785]}
{'NM_001107570': ['version 2', 633]}
{'NM_001107572': ['version 1', 804]}
{'NM_001107573': ['version 1', 1413]}
{'NM_001107574': ['version 1', 1203]}
{'NM_001107575': ['version 1', 1872]}
{'NM_001107576': ['version 1', 3060]}
{'NM_001107577': ['version 1', 879]}
{'NM_001107578': ['version 1', 894]}
{'NM_001107579': ['version 1', 1311]}
{'NM_001107580': ['version 1', 711]}
{'NM_001107581': ['version 2', 5619]}
{'NM_001107582': ['version 2', 807]}
{'NM_001107583': ['version 1', 2655]}
{'NM_001107584': ['version 1', 3318]}
{'NM_001107585': ['version 1', 2412]}
{'NM_001107586': ['version 1', 1890]}
{'NM_001107587': ['version 1', 2541]}
{'NM_001107588': ['version 1', 2238]}
{'NM_001107589': ['version 1', 987]}
{'NM_001107590': ['version 1', 276]}
{'NM_001107591': ['version 1', 945]}
{'NM_001107592': ['version 1', 2277]}
{'NM_001107593': ['version 1', 1755]}
{'NM_001107594': ['version 1', 1089]}
{'NM_001107595': ['version 1', 1026]}
{'NM_001107596': ['version 1', 4116]}
{'NM_001107597': ['version 1', 1683]}
{'NM_001107598': ['version 1', 354]}
{'NM_001107599': ['version 1', 2052]}
{'NM_001107600': ['version 1', 1227]}
{'NM_001107601': ['version 1', 1128]}
{'NM_001107602': ['version 1', 816]}
{'NM_001107603': ['version 1', 903]}
{'NM_001107604': ['version 2', 5631]}
{'NM_001107605': ['version 1', 723]}
{'NM_001107606': ['version 1', 3222]}
{'NM_001107607': ['version 2', 3501]}
{'NM_001107609': ['version 2', 5322]}
{'NM_001107611': ['version 2', 3624]}
{'NM_001107613': ['version 3', 3378]}
{'NM_001107615': ['version 1', 3600]}
{'NM_001107616': ['version 1', 1782]}
{'NM_001107617': ['version 2', 1968]}
{'NM_001107618': ['version 1', 2832]}
{'NM_001107619': ['version 1', 1362]}
{'NM_001107620': ['version 1', 1173]}
{'NM_001107621': ['version 2', 1290]}
{'NM_001107622': ['version 1', 2088]}
{'NM_001107623': ['version 1', 1101]}
{'NM_001107624': ['version 1', 3555]}
{'NM_001107625': ['version 1', 867]}
{'NM_001107626': ['version 3', 771]}
{'NM_001107628': ['version 1', 3897]}
{'NM_001107630': ['version 1', 972]}
{'NM_001107631': ['version 1', 927]}
{'NM_001107632': ['version 1', 1416]}
{'NM_001107633': ['version 1', 5040]}
{'NM_001107634': ['version 1', 1506]}
{'NM_001107636': ['version 1', 3381]}
{'NM_001107637': ['version 1', 2184]}
{'NM_001107638': ['version 1', 1110]}
{'NM_001107639': ['version 2', 2475]}
{'NM_001107641': ['version 1', 2298]}
{'NM_001107642': ['version 1', 1404]}
{'NM_001107644': ['version 3', 1191]}
{'NM_001107645': ['version 1', 1836]}
{'NM_001107646': ['version 1', 2385]}
{'NM_001107647': ['version 2', 1587]}
{'NM_001107648': ['version 1', 1146]}
{'NM_001107650': ['version 2', 1194]}
{'NM_001107651': ['version 1', 1590]}
{'NM_001107652': ['version 1', 1848]}
{'NM_001107653': ['version 1', 1593]}
{'NM_001107654': ['version 1', 1305]}
{'NM_001107657': ['version 1', 5247]}
{'NM_001107659': ['version 2', 3225]}
{'NM_001107660': ['version 1', 786]}
{'NM_001107661': ['version 1', 975]}
{'NM_001107662': ['version 1', 2493]}
{'NM_001107663': ['version 1', 1593]}
{'NM_001107664': ['version 1', 3009]}
{'NM_001107665': ['version 1', 2577]}
{'NM_001107666': ['version 2', 2307]}
{'NM_001107667': ['version 1', 2784]}
{'NM_001107668': ['version 1', 624]}
{'NM_001107670': ['version 1', 2487]}
{'NM_001107671': ['version 1', 966]}
{'NM_001107672': ['version 1', 1296]}
{'NM_001107673': ['version 2', 1509]}
{'NM_001107674': ['version 1', 2598]}
{'NM_001107676': ['version 1', 2739]}
{'NM_001107677': ['version 1', 1065]}
{'NM_001107678': ['version 1', 3003]}
{'NM_001107680': ['version 1', 849]}
{'NM_001107681': ['version 2', 1083]}
{'NM_001107682': ['version 2', 1512]}
{'NM_001107683': ['version 1', 2940]}
{'NM_001107684': ['version 1', 3885]}
{'NM_001107685': ['version 1', 336]}
{'NM_001107686': ['version 1', 759]}
{'NM_001107687': ['version 2', 642]}
{'NM_001107688': ['version 1', 1788]}
{'NM_001107689': ['version 1', 8757]}
{'NM_001107690': ['version 1', 2007]}
{'NM_001107691': ['version 1', 1686]}
{'NM_001107692': ['version 1', 615]}
{'NM_001107693': ['version 1', 4074]}
{'NM_001107694': ['version 1', 2046]}
{'NM_001107695': ['version 1', 1095]}
{'NM_001107696': ['version 1', 690]}
{'NM_001107697': ['version 1', 2526]}
{'NM_001107698': ['version 1', 411]}
{'NM_001107699': ['version 2', 3504]}
{'NM_001107700': ['version 1', 1470]}
{'NM_001107701': ['version 1', 1677]}
{'NM_001107702': ['version 1', 1530]}
{'NM_001107705': ['version 1', 2829]}
{'NM_001107707': ['version 1', 1647]}
{'NM_001107708': ['version 1', 1257]}
{'NM_001107709': ['version 1', 2220]}
{'NM_001107710': ['version 1', 3165]}
{'NM_001107711': ['version 1', 3015]}
{'NM_001107712': ['version 2', 1917]}
{'NM_001107713': ['version 1', 900]}
{'NM_001107714': ['version 1', 1401]}
{'NM_001107715': ['version 2', 1350]}
{'NM_001107716': ['version 1', 261]}
{'NM_001107717': ['version 1', 2214]}
{'NM_001107718': ['version 2', 1881]}
{'NM_001107719': ['version 1', 1707]}
{'NM_001107720': ['version 1', 951]}
{'NM_001107721': ['version 1', 6873]}
{'NM_001107722': ['version 1', 2478]}
{'NM_001107724': ['version 1', 1092]}
{'NM_001107725': ['version 1', 1575]}
{'NM_001107726': ['version 1', 723]}
{'NM_001107727': ['version 1', 2691]}
{'NM_001107728': ['version 1', 1437]}
{'NM_001107729': ['version 1', 1269]}
{'NM_001107730': ['version 1', 2868]}
{'NM_001107732': ['version 1', 1800]}
{'NM_001107734': ['version 1', 1551]}
{'NM_001107735': ['version 1', 2805]}
{'NM_001107736': ['version 1', 1185]}
{'NM_001107737': ['version 1', 3111]}
{'NM_001107738': ['version 1', 3768]}
{'NM_001107739': ['version 2', 663]}
{'NM_001107740': ['version 1', 2799]}
{'NM_001107741': ['version 1', 735]}
{'NM_001107742': ['version 1', 1821]}
{'NM_001107743': ['version 1', 1500]}
{'NM_001107744': ['version 1', 4140]}
{'NM_001107745': ['version 1', 981]}
{'NM_001107746': ['version 1', 1128]}
{'NM_001107747': ['version 2', 1320]}
{'NM_001107748': ['version 1', 1092]}
{'NM_001107749': ['version 1', 570]}
{'NM_001107750': ['version 1', 747]}
{'NM_001107751': ['version 1', 2013]}
{'NM_001107752': ['version 2', 3597]}
{'NM_001107753': ['version 1', 1923]}
{'NM_001107754': ['version 2', 1593]}
{'NM_001107755': ['version 1', 1074]}
{'NM_001107756': ['version 1', 2730]}
{'NM_001107757': ['version 1', 654]}
{'NM_001107758': ['version 1', 1413]}
{'NM_001107759': ['version 2', 4041]}
{'NM_001107760': ['version 1', 2058]}
{'NM_001107761': ['version 1', 1689]}
{'NM_001107762': ['version 1', 1131]}
{'NM_001107763': ['version 2', 1734]}
{'NM_001107764': ['version 2', 2376]}
{'NM_001107766': ['version 1', 3636]}
{'NM_001107767': ['version 1', 1023]}
{'NM_001107768': ['version 1', 2973]}
{'NM_001107769': ['version 1', 1065]}
{'NM_001107770': ['version 1', 1572]}
{'NM_001107771': ['version 1', 5835]}
{'NM_001107772': ['version 1', 3543]}
{'NM_001107773': ['version 1', 1815]}
{'NM_001107774': ['version 1', 597]}
{'NM_001107775': ['version 1', 2589]}
{'NM_001107777': ['version 1', 4830]}
{'NM_001107778': ['version 1', 1086]}
{'NM_001107779': ['version 1', 1488]}
{'NM_001107780': ['version 2', 1113]}
{'NM_001107781': ['version 1', 2157]}
{'NM_001107782': ['version 1', 1587]}
{'NM_001107783': ['version 2', 3936]}
{'NM_001107784': ['version 1', 1116]}
{'NM_001107785': ['version 1', 471]}
{'NM_001107786': ['version 1', 2709]}
{'NM_001107787': ['version 1', 576]}
{'NM_001107788': ['version 1', 2124]}
{'NM_001107789': ['version 1', 1095]}
{'NM_001107790': ['version 1', 2235]}
{'NM_001107791': ['version 1', 390]}
{'NM_001107792': ['version 1', 813]}
{'NM_001107793': ['version 1', 2106]}
{'NM_001107794': ['version 2', 5826]}
{'NM_001107795': ['version 1', 3033]}
{'NM_001107796': ['version 1', 1758]}
{'NM_001107797': ['version 1', 8097]}
{'NM_001107798': ['version 2', 1101]}
{'NM_001107799': ['version 1', 789]}
{'NM_001107800': ['version 1', 1464]}
{'NM_001107801': ['version 1', 2097]}
{'NM_001107802': ['version 2', 858]}
{'NM_001107803': ['version 1', 1095]}
{'NM_001107804': ['version 1', 1377]}
{'NM_001107805': ['version 1', 2796]}
{'NM_001107806': ['version 1', 1239]}
{'NM_001107807': ['version 2', 693]}
{'NM_001107808': ['version 1', 1806]}
{'NM_001107809': ['version 1', 2628]}
{'NM_001107810': ['version 1', 1080]}
{'NM_001107811': ['version 1', 2607]}
{'NM_001107812': ['version 2', 1005]}
{'NM_001107813': ['version 1', 3120]}
{'NM_001107814': ['version 1', 471]}
{'NM_001107815': ['version 2', 1494]}
{'NM_001107816': ['version 1', 1305]}
{'NM_001107817': ['version 3', 1896]}
{'NM_001107818': ['version 1', 1797]}
{'NM_001107819': ['version 1', 411]}
{'NM_001107820': ['version 1', 297]}
{'NM_001107821': ['version 2', 837]}
{'NM_001107822': ['version 1', 1092]}
{'NM_001107823': ['version 1', 993]}
{'NM_001107824': ['version 2', 2049]}
{'NM_001107825': ['version 1', 1695]}
{'NM_001107826': ['version 1', 1611]}
{'NM_001107827': ['version 3', 2748]}
{'NM_001107828': ['version 1', 1656]}
{'NM_001107829': ['version 1', 1380]}
{'NM_001107830': ['version 1', 4743]}
{'NM_001107831': ['version 3', 852]}
{'NM_001107832': ['version 1', 1155]}
{'NM_001107833': ['version 1', 2184]}
{'NM_001107834': ['version 1', 1305]}
{'NM_001107835': ['version 2', 1365]}
{'NM_001107837': ['version 1', 1167]}
{'NM_001107838': ['version 1', 573]}
{'NM_001107839': ['version 1', 3564]}
{'NM_001107840': ['version 1', 1356]}
{'NM_001107841': ['version 1', 3198]}
{'NM_001107842': ['version 1', 2277]}
{'NM_001107843': ['version 1', 8769]}
{'NM_001107844': ['version 1', 2475]}
{'NM_001107845': ['version 1', 1869]}
{'NM_001107846': ['version 1', 1470]}
{'NM_001107847': ['version 1', 4344]}
{'NM_001107848': ['version 1', 2409]}
{'NM_001107849': ['version 2', 3045]}
{'NM_001107850': ['version 1', 2103]}
{'NM_001107851': ['version 1', 813]}
{'NM_001107853': ['version 1', 1179]}
{'NM_001107855': ['version 1', 1851]}
{'NM_001107856': ['version 1', 741]}
{'NM_001107857': ['version 1', 3042]}
{'NM_001107858': ['version 1', 2934]}
{'NM_001107859': ['version 1', 1623]}
{'NM_001107861': ['version 1', 1872]}
{'NM_001107862': ['version 1', 894]}
{'NM_001107863': ['version 1', 1119]}
{'NM_001107864': ['version 2', 3075]}
{'NM_001107865': ['version 1', 1764]}
{'NM_001107866': ['version 2', 2265]}
{'NM_001107867': ['version 2', 1542]}
{'NM_001107868': ['version 1', 5628]}
{'NM_001107869': ['version 1', 6090]}
{'NM_001107870': ['version 1', 1254]}
{'NM_001107871': ['version 1', 2622]}
{'NM_001107872': ['version 2', 1725]}
{'NM_001107873': ['version 2', 2718]}
{'NM_001107874': ['version 1', 2802]}
{'NM_001107875': ['version 1', 2352]}
{'NM_001107876': ['version 1', 2544]}
{'NM_001107877': ['version 1', 5643]}
{'NM_001107879': ['version 1', 252]}
{'NM_001107880': ['version 1', 1947]}
{'NM_001107881': ['version 1', 5151]}
{'NM_001107882': ['version 1', 861]}
{'NM_001107883': ['version 2', 2607]}
{'NM_001107884': ['version 1', 1260]}
{'NM_001107885': ['version 1', 600]}
{'NM_001107886': ['version 1', 3129]}
{'NM_001107887': ['version 1', 3363]}
{'NM_001107888': ['version 2', 735]}
{'NM_001107889': ['version 1', 744]}
{'NM_001107890': ['version 1', 993]}
{'NM_001107891': ['version 1', 1461]}
{'NM_001107892': ['version 1', 3705]}
{'NM_001107894': ['version 1', 1092]}
{'NM_001107895': ['version 2', 435]}
{'NM_001107896': ['version 1', 2718]}
{'NM_001107897': ['version 1', 1077]}
{'NM_001107898': ['version 1', 2529]}
{'NM_001107899': ['version 1', 3651]}
{'NM_001107900': ['version 1', 846]}
{'NM_001107901': ['version 1', 4767]}
{'NM_001107902': ['version 1', 1272]}
{'NM_001107903': ['version 1', 990]}
{'NM_001107904': ['version 1', 2553]}
{'NM_001107905': ['version 1', 996]}
{'NM_001107907': ['version 2', 1284]}
{'NM_001107908': ['version 1', 2031]}
{'NM_001107909': ['version 1', 3879]}
{'NM_001107910': ['version 1', 1533]}
{'NM_001107911': ['version 1', 1056]}
{'NM_001107912': ['version 2', 1278]}
{'NM_001107913': ['version 1', 1176]}
{'NM_001107914': ['version 1', 4683]}
{'NM_001107915': ['version 1', 5589]}
{'NM_001107916': ['version 2', 2994]}
{'NM_001107917': ['version 2', 1602]}
{'NM_001107918': ['version 1', 1785]}
{'NM_001107919': ['version 1', 873]}
{'NM_001107920': ['version 2', 1821]}
{'NM_001107921': ['version 1', 5889]}
{'NM_001107922': ['version 2', 1296]}
{'NM_001107923': ['version 2', 1794]}
{'NM_001107924': ['version 1', 954]}
{'NM_001107925': ['version 1', 576]}
{'NM_001107926': ['version 1', 1821]}
{'NM_001107928': ['version 1', 3384]}
{'NM_001107929': ['version 2', 2922]}
{'NM_001107930': ['version 1', 1827]}
{'NM_001107931': ['version 2', 1089]}
{'NM_001107932': ['version 1', 3168]}
{'NM_001107933': ['version 1', 2346]}
{'NM_001107934': ['version 1', 1134]}
{'NM_001107935': ['version 1', 1692]}
{'NM_001107936': ['version 1', 648]}
{'NM_001107938': ['version 1', 1305]}
{'NM_001107939': ['version 1', 4323]}
{'NM_001107940': ['version 1', 1800]}
{'NM_001107941': ['version 1', 1506]}
{'NM_001107942': ['version 2', 1560]}
{'NM_001107943': ['version 1', 828]}
{'NM_001107944': ['version 1', 1854]}
{'NM_001107945': ['version 1', 1467]}
{'NM_001107946': ['version 1', 2187]}
{'NM_001107947': ['version 1', 3033]}
{'NM_001107948': ['version 1', 1377]}
{'NM_001107949': ['version 4', 2736]}
{'NM_001107950': ['version 1', 669]}
{'NM_001107951': ['version 1', 1602]}
{'NM_001107952': ['version 1', 4197]}
{'NM_001107953': ['version 1', 4380]}
{'NM_001107954': ['version 1', 2763]}
{'NM_001107955': ['version 2', 492]}
{'NM_001107956': ['version 1', 1314]}
{'NM_001107958': ['version 2', 990]}
{'NM_001107959': ['version 1', 1047]}
{'NM_001107960': ['version 1', 705]}
{'NM_001107961': ['version 2', 1131]}
{'NM_001107962': ['version 1', 840]}
{'NM_001107963': ['version 1', 2736]}
{'NM_001107964': ['version 1', 831]}
{'NM_001107965': ['version 1', 1110]}
{'NM_001107966': ['version 1', 2916]}
{'NM_001107967': ['version 2', 840]}
{'NM_001107968': ['version 2', 852]}
{'NM_001107969': ['version 1', 600]}
{'NM_001107970': ['version 1', 897]}
{'NM_001107971': ['version 3', 1869]}
{'NM_001107972': ['version 1', 7053]}
{'NM_001107973': ['version 1', 1122]}
{'NM_001107974': ['version 1', 1428]}
{'NM_001107976': ['version 1', 1089]}
{'NM_001107977': ['version 1', 981]}
{'NM_001107978': ['version 2', 762]}
{'NM_001107979': ['version 1', 867]}
{'NM_001107980': ['version 1', 789]}
{'NM_001107981': ['version 1', 681]}
{'NM_001107982': ['version 1', 4653]}
{'NM_001107983': ['version 1', 2988]}
{'NM_001107984': ['version 1', 1026]}
{'NM_001107985': ['version 1', 2013]}
{'NM_001107986': ['version 2', 2727]}
